model_id,architecture,batch_size,learning_rate,max_epochs,use_initial_bias,use_label_smoothing,use_weighted_loss,epochs_trained,train_loss,train_tp,train_fp,train_tn,train_fn,train_accuracy,train_precision,train_recall,train_auc,train_prc,val_loss,val_tp,val_fp,val_tn,val_fn,val_accuracy,val_precision,val_recall,val_auc,val_prc
50,"[16, 32, 16]",2048,1e-05,100,False,False,False,12,0.3078816831111908,1.0,0.0,597299.0,2700.0,0.9955000281333923,1.0,0.00037023326149210334,0.9475678205490112,0.04928937554359436,0.3081134855747223,0.0,0.0,199054.0,946.0,0.9952700138092041,0.0,0.0,0.9430585503578186,0.04726416617631912
51,"[16, 32, 16]",2048,1e-07,30,False,False,False,12,0.1890569031238556,0.0,168.0,597131.0,2701.0,0.9952183365821838,0.0,0.0,0.7744636535644531,0.01004108414053917,0.18939732015132904,0.0,49.0,199005.0,946.0,0.9950249791145325,0.0,0.0,0.780423104763031,0.010833313688635826
52,"[16, 32, 16]",2048,1e-07,50,False,False,False,48,1.1827867031097412,2701.0,597299.0,0.0,0.0,0.004501666873693466,0.004501666873693466,1.0,0.9648081660270691,0.0868896096944809,1.1824345588684082,946.0,199053.0,1.0,0.0,0.004734999965876341,0.004730023443698883,1.0,0.9644712209701538,0.09070044755935669
53,"[16, 32, 16]",2048,1e-07,100,False,False,False,100,0.5050530433654785,36.0,2486.0,594813.0,2665.0,0.9914150238037109,0.014274385757744312,0.01332839671522379,0.24305331707000732,0.0037144881207495928,0.5052680373191833,13.0,867.0,198187.0,933.0,0.9909999966621399,0.014772727154195309,0.013742071576416492,0.23708012700080872,0.004314740654081106
54,"[16, 32, 64, 32, 16]",128,0.001,30,False,False,False,18,0.007020691875368357,1440.0,406.0,596893.0,1261.0,0.9972216486930847,0.7800650000572205,0.5331358909606934,0.9915377497673035,0.7326764464378357,0.0073424712754786015,536.0,165.0,198889.0,410.0,0.9971250295639038,0.7646219730377197,0.5665962100028992,0.9907309412956238,0.7333729863166809
55,"[16, 32, 64, 32, 16]",128,0.001,50,False,False,False,30,0.006955715361982584,1467.0,356.0,596943.0,1234.0,0.9973499774932861,0.804717481136322,0.5431321859359741,0.9920660853385925,0.7448293566703796,0.007425385061651468,541.0,161.0,198893.0,405.0,0.9971699714660645,0.7706552743911743,0.5718815922737122,0.9890653491020203,0.7421243190765381
56,"[16, 32, 64, 32, 16]",128,0.001,100,False,False,False,73,0.006791390012949705,1455.0,372.0,596927.0,1246.0,0.997303307056427,0.7963874936103821,0.538689374923706,0.9883269667625427,0.7480840682983398,0.007055974565446377,538.0,157.0,198897.0,408.0,0.9971749782562256,0.7741007208824158,0.5687103867530823,0.9873340129852295,0.7441176772117615
57,"[16, 32, 64, 32, 16]",128,1e-05,30,False,False,False,30,0.008750379085540771,1037.0,317.0,596982.0,1664.0,0.9966983199119568,0.7658788561820984,0.38393187522888184,0.9842302203178406,0.6432652473449707,0.009267029352486134,356.0,111.0,198943.0,590.0,0.9964950084686279,0.762312650680542,0.37632134556770325,0.9828739166259766,0.6435954570770264
58,"[16, 32, 64, 32, 16]",128,1e-05,50,False,False,False,50,0.007529669441282749,1411.0,383.0,596916.0,1290.0,0.9972116947174072,0.7865105867385864,0.5223991274833679,0.9891208410263062,0.7111020088195801,0.007949025370180607,508.0,147.0,198907.0,438.0,0.9970750212669373,0.7755725383758545,0.53699791431427,0.9856002330780029,0.7036005854606628
59,"[16, 32, 64, 32, 16]",128,1e-05,100,False,False,False,100,0.007092058192938566,1539.0,468.0,596831.0,1162.0,0.9972833395004272,0.7668161392211914,0.5697889924049377,0.9894677400588989,0.7301726341247559,0.007411935832351446,573.0,181.0,198873.0,373.0,0.9972299933433533,0.7599469423294067,0.6057082414627075,0.9906796216964722,0.7375597357749939
60,"[16, 32, 64, 32, 16]",128,1e-07,30,False,False,False,14,0.4599561393260956,0.0,0.0,597299.0,2701.0,0.9954983592033386,0.0,0.0,0.4167042672634125,0.003602132201194763,0.46015727519989014,0.0,0.0,199054.0,946.0,0.9952700138092041,0.0,0.0,0.41824376583099365,0.003800314152613282
61,"[16, 32, 64, 32, 16]",128,1e-07,50,False,False,False,24,0.4139224588871002,0.0,94.0,597205.0,2701.0,0.9953416585922241,0.0,0.0,0.8282654881477356,0.012367788702249527,0.4140961468219757,0.0,35.0,199019.0,946.0,0.9950950145721436,0.0,0.0,0.8222945332527161,0.012626933865249157
62,"[16, 32, 64, 32, 16]",128,1e-07,100,False,False,False,23,0.11970552057027817,0.0,0.0,597299.0,2701.0,0.9954983592033386,0.0,0.0,0.30277782678604126,0.0029495167545974255,0.12024623900651932,0.0,0.0,199054.0,946.0,0.9952700138092041,0.0,0.0,0.29811760783195496,0.0030895890668034554
63,"[16, 32, 64, 32, 16]",512,0.001,30,False,False,False,30,0.007129712495952845,1704.0,660.0,596639.0,997.0,0.9972383379936218,0.720812201499939,0.6308774352073669,0.9963931441307068,0.7358490824699402,0.00748215988278389,624.0,267.0,198787.0,322.0,0.9970549941062927,0.7003366947174072,0.6596194505691528,0.995916485786438,0.7385198473930359
